id,script,inflection,comment,type,suppress
ann_538,this train does not call at,,,1,
ann_733,aintree university hospital,,fazakerley ,1,
ann_524,all change please,,,1,
add_932,25th,,,1,
add_814,the next station,,for timetable change,1,
ann_599,ellesmere port capenhurst and bache,,hooton for ellesmere port services,1,
ann_714,please have your ticket ready for inspection if you need any information about your journey please ask the ontrain staff,,,1,
ann_578,north wales manchester and london,,chester,1,
add_949,november,,,1,
ann_655,operation difficulties,,,1,
ann_705,move towards the rear of the train and exit through the rear cab,,,1,
ann_735,doors open on the left,,,1,
add_916,9th,,,1,
ann_555,for the bus service to liverpool john lennon airport,,,1,
add_939,january,,,1,
ann_725,passengers for chester zoo should leave the train at the next station,,,1,
ann_687,sandhills station and catch the special soccerbus from outside the station,,sandhills,1,
add_923,16th,,,1,
ann_566,for aintree racecourse,,aintree,1,
add_810,please make sure you have a valid ticket for your journey,,,1,
ann_683,hoylake station,,open,1,
ann_605,in the interest of passenger safety your attention is drawn to the following safety devices,,,1,
ann_624,40 minutes late,,,1,
ann_573,wrexham and north wales,,bidston,1,
add_950,december,,,1,
ann_548,please change here,,,1,
ann_529a,thank you for travelling with merseyrail,,used after the next station stop is chester,1,
ann_698,there is a fire on this train,,,1,
ann_707,there are emergency exits at the front and rear of the train alternatively break the windows using the hammers provided remember to hit the window in the corner,,,1,
ann_507,and,,,1,
ann_564,for wirral line services to liverpool lime street,,,1,
ann_505,this train calls at all stations to,,,1,
add_905,thursday,,,1,
ann_527,please make sure that you take all your personal belongings with you when leaving the train,,,1,
ann_501,welcome to the merseyrail service to,,,1,
ann_664,penalty fares are in operation on this network if you are unable to show a valid ticket to one of our ticket inspectors you may have to pay a penalty fare,,,1,
add_815,this station,,,1,
ann_709,due to an emergency at the next station,,,1,
add_903,tuesday,,,1,
ann_577,west kirby and new brighton,,hamilton square,1,
ann_631,were sorry for the delay and inconvenience this may cause,,,1,
ann_540,in the interest of passenger safety your attention is drawn to the emergency information posters located within each coach on this train,,,2,
ann_546,passengers for other lines to,,,1,
ann_644,signaling problems,,,1,
add_918,11th,,,1,
add_812,new timetables begin on,,,1,
ann_603mod,should it be necessary to stop this train in an emergency please push the emergency communication button by the doors,,,1,
add_948,october,,,1,
ann_565,for all northern line services,,,1,
add_910,3rd,,,1,
ann_542,leave the train here,,,1,
add_826,please make your way to rear of the train and await staff instructions,,,1,
add_900,check at stations and online for details,,,1,
ann_661,we regret to announce that the lift at the next station is currently out of use passengers requiring the lift are requested to remain on the train to the station after and seek assistance from the station staff,,,1,
ann_518,approaching,,,1,
ann_673,passengers wishing to visit,,,1,
ann_716,passengers for cheshire oaks outlet village and blue planet aquarium should leave the train at the next station for a connecting bus service,,,1,
ann_693,passengers are reminded that they should keep their feet off the seats,,,1,
add_908,1st,,,1,
ann_628,merseyrail wish to apologise for any inconvenience,,,1,
add_935,28th,,,1,
ann_595,liverpool john lennon airport,,liverpool south parkway,1,
ann_635,were sorry for the late running of this service,,,2,
ann_582,ellesmere port,,hooton for chester services,1,
ann_588,southport,,sandhills for kirkby and ormskirk services,1,
ann_572,preston,,ormskirk,1,
ann_625,50 minutes late,,,1,
ann_562,for wirral line services,,liverpool central on any northern line services,1,
add_911,4th,,,1,
add_902,monday,,,1,
ann_586,ormskirk and kirkby,,sandhills for southport services,1,
ann_703,due to an emergency it is necessary to evacuate the train,,,1,
ann_636,this is due to,,,1,
ann_513,the next station stop will be,,,2,
ann_694,please stand clear of the doors this train is about to depart,,,1,
ann_643,a points failure,,,1,
add_909,2nd,,,1,
ann_699,please do not panic,,,1,
add_819,have a safe evening,,,1,
add_919,12th,,,1,
ann_598,helsby,,ellesmere port,1,
ann_651,a lineside incident,,,1,
ann_609m,we remind passengers that smoking including the use of ecigrattes is not permitted any train underground station or any other designated nosmoking area,,,1,
ann_516,next stop,,,1,
ann_597,the countess of chester hospital,,bache,1,
ann_619,this service is now running,,,1,
ann_614,passengers are advised that access from the next station is by lifts and escalators only,,,1,
add_936,29th,,,1,
ann_508,the next station stop will be,,,1,
ann_670,please be vigilant for any suspicious articles left unattended if you spot anything please report it to a member of staff immediately,,,1,
ann_640,this train is terminating early due to,,,1,
add_801,for your safety and security close circuit television is in use on trains and stations at all times,,,1,
ann_656,attention please this train will not stop at the next station as planned passengers for the next station please leave the train at the station after and listen for instructions,,,1,
add_829,please give up your seat if a less able person needs it,,,1,
ann_547,passengers for services to,,,1,
ann_584,ormskirk,,kirkdale for kirkby services,1,
add_820,please take care when stepping from the train,,,1,
ann_560,for city line and longdistance services,,liverpool lime street for all wirral line services,1,
ann_657,please listen for announcements and updated information to be displayed shortly,,,1,
ann_630,were sorry for the delay and inconvenience this will cause,,,1,
ann_659,this train will terminate at the next station,,,1,
ann_591,manchester,,southport and headbolt lane and liverpool south parkway,1,
ann_541a,the front and rear passenger doors will not open at this station please move towards the centre of the train to alight,,,1,
ann_600,in the interest of passenger safety your attention is drawn to the following safety information,,,1,
ann_704,move towards the front of the train and exit through the drivers cab,,,1,
ann_675,the spring flower show,,,1,
ann_650,vandalism,,,1,
add_800,for your safety and security merseyrail control staff and british transport police have access to close circuit television cameras at all times,,,1,
add_830,charging points are available adjacent to each seat,,,1,
ann_520,this is,,,1,
ann_653,the activation of an alarm by a passenger,,,1,
ann_678,the southport airshow,,southport,1,
ann_626,more than an hour late,,,1,
add_808,staff may perform ticket checks at any time during your journey,,,1,
ann_648,power problems,,,1,
add_822,this train is ready to leave please stand back from the platform edge,,,1,
ann_552,please change here,,,2,
add_824,assistance has been called for and is on route,,,1,
ann_563,for wirral line services and liverpool lime street,,moorfields for all nothern line services,1,
ann_715,if you wish to contact the british transport police neighbourhood policing team please ring 0800 405 040 safer station safer journey,,,1,
ann_674,should leave the train at,,,1,
add_817,please mind the closing doors,,,1,
ann_702,due to an emergency it is necessary to evacuate this train now,,,1,
add_818,please use the tipup seating base found in each coach to store large luggage,,,1,
ann_509,the next stop is,,,1,
ann_668,we do not tolerate anyone who commits acts of antisocial behaviour we will prosecute anyone caught doing so,,,1,
add_922,15th,,,1,
ann_708,please follow the instructions given to you by rail staff,,,1,
ann_526,please ensure that you take all your personal belongings with you when leaving the train,,,1,
add_944,june,,,1,
ann_544,passengers,,,1,
ann_557,for merseyrail northern line services,,moorfields and liverpool central for all wirral line services,1,
ann_501c,this is the merseyrail wirral line service to,,wirral line services only,1,
ann_689,prenton park,,sandhills,1,
ann_610,we remind passengers that smoking including the use of ecigrettes is not permitted on this train or on any merseyrail station,,,1,
ann_608,in the event of an emergency a pa announcement and visual message will be given,,,1,
add_934,27th,,,1,
ann_512,thank you,,,1,
